first_decision,final_decision,duration_weeks,left_only,right_only,resolved_within_one_week,resolved_within_four_weeks,persistent_4_weeks,persistent_8_weeks,persistent_13_weeks,persistent_26_weeks,metric,period,hysteresis_absorbed
2022-07-04T00:00:00+00:00,2022-07-04T00:00:00+00:00,1,MANA-USDT;VET-USDT;XLM-USDT,AAVE-USDT;EGLD-USDT;XMR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-07-11T00:00:00+00:00,2022-07-11T00:00:00+00:00,1,MANA-USDT;XLM-USDT;ZIL-USDT,BTT-USDT;JASMY-USDT;ONE-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-07-18T00:00:00+00:00,2022-07-18T00:00:00+00:00,1,MANA-USDT;XLM-USDT,JASMY-USDT;SUN-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-07-25T00:00:00+00:00,2022-07-25T00:00:00+00:00,1,MANA-USDT,JST-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-08-01T00:00:00+00:00,2022-08-01T00:00:00+00:00,1,ETC-USDT;MANA-USDT,JST-USDT;WIN-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-08-08T00:00:00+00:00,2022-08-08T00:00:00+00:00,1,ETC-USDT;MANA-USDT,THETA-USDT;XMR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-08-15T00:00:00+00:00,2022-08-15T00:00:00+00:00,1,ETC-USDT;MANA-USDT,LTC-USDT;XMR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-08-22T00:00:00+00:00,2022-08-22T00:00:00+00:00,1,ETC-USDT,XMR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-08-29T00:00:00+00:00,2022-08-29T00:00:00+00:00,1,ETC-USDT,LUNA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-09-05T00:00:00+00:00,2022-09-05T00:00:00+00:00,1,ETC-USDT,RUNE-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-09-12T00:00:00+00:00,2022-09-12T00:00:00+00:00,1,ETC-USDT,BRISE-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-09-19T00:00:00+00:00,2022-09-19T00:00:00+00:00,1,ETC-USDT,KAVA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-09-26T00:00:00+00:00,2022-09-26T00:00:00+00:00,1,ETC-USDT,SFUND-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-10-03T00:00:00+00:00,2022-10-03T00:00:00+00:00,1,ETC-USDT;XLM-USDT,KAVA-USDT;SFUND-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-10-10T00:00:00+00:00,2022-10-10T00:00:00+00:00,1,ETC-USDT;XLM-USDT,THETA-USDT;TLOS-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-10-17T00:00:00+00:00,2022-10-17T00:00:00+00:00,1,ETC-USDT;XLM-USDT,GALAX-USDT;OP-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-10-24T00:00:00+00:00,2022-10-24T00:00:00+00:00,1,ETC-USDT;XLM-USDT,OP-USDT;XPR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-10-31T00:00:00+00:00,2022-10-31T00:00:00+00:00,1,XDB-USDT;XLM-USDT,HBAR-USDT;SUSHI-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-11-07T00:00:00+00:00,2022-11-07T00:00:00+00:00,1,XDB-USDT,SFUND-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-11-14T00:00:00+00:00,2022-11-14T00:00:00+00:00,1,XDB-USDT,UNI-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-11-21T00:00:00+00:00,2022-11-21T00:00:00+00:00,1,XDB-USDT,SAND-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-11-28T00:00:00+00:00,2022-11-28T00:00:00+00:00,1,XDB-USDT,GALAX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-12-05T00:00:00+00:00,2022-12-05T00:00:00+00:00,1,XDB-USDT;XLM-USDT,UNI-USDT;XPR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-12-12T00:00:00+00:00,2022-12-19T00:00:00+00:00,2,TEL-USDT;XDB-USDT;XLM-USDT,DYDX-USDT;THETA-USDT;VR-USDT,False,True,False,False,False,False,TOP_30,POST_WARMUP,False
2022-12-26T00:00:00+00:00,2022-12-26T00:00:00+00:00,1,TEL-USDT;XDB-USDT;XLM-USDT,PYR-USDT;SUSHI-USDT;THETA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-01-02T00:00:00+00:00,2023-01-02T00:00:00+00:00,1,XDB-USDT;XLM-USDT,KCS-USDT;PIX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-01-09T00:00:00+00:00,2023-01-09T00:00:00+00:00,1,XDB-USDT;XLM-USDT,JASMY-USDT;KCS-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-01-16T00:00:00+00:00,2023-01-16T00:00:00+00:00,1,XLM-USDT,NEAR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-01-23T00:00:00+00:00,2023-01-23T00:00:00+00:00,1,ETC-USDT;MANA-USDT;XLM-USDT,CHZ-USDT;SAND-USDT;XPR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-01-30T00:00:00+00:00,2023-01-30T00:00:00+00:00,1,GRAM-USDT;MANA-USDT,GMT-USDT;THETA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-02-06T00:00:00+00:00,2023-02-06T00:00:00+00:00,1,GRAM-USDT;MANA-USDT,DYDX-USDT;LDO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-02-13T00:00:00+00:00,2023-02-13T00:00:00+00:00,1,GRAM-USDT;MANA-USDT,GMT-USDT;PYR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-02-20T00:00:00+00:00,2023-02-20T00:00:00+00:00,1,GRAM-USDT;MANA-USDT,HFT-USDT;INJ-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-02-27T00:00:00+00:00,2023-02-27T00:00:00+00:00,1,GRAM-USDT;MANA-USDT,INJ-USDT;XCN-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-03-06T00:00:00+00:00,2023-03-06T00:00:00+00:00,1,GRAM-USDT,VELO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-03-13T00:00:00+00:00,2023-03-13T00:00:00+00:00,1,GRAM-USDT,XCN-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-03-20T00:00:00+00:00,2023-03-20T00:00:00+00:00,1,GRAM-USDT,JASMY-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-03-27T00:00:00+00:00,2023-03-27T00:00:00+00:00,1,GRAM-USDT,INJ-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-04-03T00:00:00+00:00,2023-04-03T00:00:00+00:00,1,GRAM-USDT,IMX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-04-10T00:00:00+00:00,2023-04-10T00:00:00+00:00,1,GRAM-USDT;XLM-USDT,NEAR-USDT;VELO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-04-17T00:00:00+00:00,2023-04-17T00:00:00+00:00,1,GRAM-USDT;XLM-USDT,FIL-USDT;VELO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-04-24T00:00:00+00:00,2023-04-24T00:00:00+00:00,1,GRAM-USDT,LDO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-05-01T00:00:00+00:00,2023-05-01T00:00:00+00:00,1,GRAM-USDT,APE-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-05-08T00:00:00+00:00,2023-05-08T00:00:00+00:00,1,GRAM-USDT,LUNA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-05-15T00:00:00+00:00,2023-05-15T00:00:00+00:00,1,GRAM-USDT,FIL-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-05-22T00:00:00+00:00,2023-05-22T00:00:00+00:00,1,GRAM-USDT,WOO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-05-29T00:00:00+00:00,2023-05-29T00:00:00+00:00,1,GRAM-USDT;XLM-USDT,DOT-USDT;FET-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-06-05T00:00:00+00:00,2023-06-05T00:00:00+00:00,1,GRAM-USDT;XLM-USDT,DOT-USDT;KAVA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-06-12T00:00:00+00:00,2023-06-12T00:00:00+00:00,1,GRAM-USDT,LUNC-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-06-19T00:00:00+00:00,2023-06-19T00:00:00+00:00,1,GRAM-USDT;XLM-USDT,HBAR-USDT;QNT-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-06-26T00:00:00+00:00,2023-06-26T00:00:00+00:00,1,GRAM-USDT;XLM-USDT,APT-USDT;HBAR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-07-03T00:00:00+00:00,2023-07-03T00:00:00+00:00,1,GRAM-USDT;XLM-USDT,APT-USDT;GALAX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-07-10T00:00:00+00:00,2023-07-10T00:00:00+00:00,1,GRAM-USDT;XLM-USDT,BLUR-USDT;GRT-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-07-17T00:00:00+00:00,2023-07-17T00:00:00+00:00,1,ETC-USDT;GRAM-USDT;XLM-USDT,APT-USDT;GRT-USDT;HBAR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-07-24T00:00:00+00:00,2023-07-24T00:00:00+00:00,1,COMP-USDT;GRAM-USDT;XLM-USDT,AAVE-USDT;QNT-USDT;WAVES-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-07-31T00:00:00+00:00,2023-07-31T00:00:00+00:00,1,COMP-USDT;GRAM-USDT;XLM-USDT,CFX-USDT;LDO-USDT;QNT-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-08-07T00:00:00+00:00,2023-08-07T00:00:00+00:00,1,COMP-USDT;GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,ATOM-USDT;FIL-USDT;FTT-USDT;GALAX-USDT;LDO-USDT;QNT-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-08-14T00:00:00+00:00,2023-08-14T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,ATOM-USDT;FLR-USDT;FTT-USDT;JASMY-USDT;MASK-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-08-21T00:00:00+00:00,2023-08-21T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,ATOM-USDT;DOT-USDT;FLR-USDT;QNT-USDT;YGG-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-08-28T00:00:00+00:00,2023-08-28T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,AKT-USDT;ATOM-USDT;DOT-USDT;JASMY-USDT;QNT-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-09-04T00:00:00+00:00,2023-09-04T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,AKT-USDT;ATOM-USDT;CRV-USDT;DOT-USDT;FET-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-09-11T00:00:00+00:00,2023-09-11T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,DOT-USDT;DYDX-USDT;OP-USDT;XDC-USDT;YGG-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-09-18T00:00:00+00:00,2023-09-18T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,ALGO-USDT;CFX-USDT;DYDX-USDT;OP-USDT;ROUTE-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-09-25T00:00:00+00:00,2023-09-25T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,ALGO-USDT;CFX-USDT;CRV-USDT;DYDX-USDT;FET-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-10-02T00:00:00+00:00,2023-10-02T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,ALGO-USDT;BLZ-USDT;CFX-USDT;FET-USDT;TRB-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-10-09T00:00:00+00:00,2023-10-09T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,ALGO-USDT;APE-USDT;CFX-USDT;QNT-USDT;XPR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-10-16T00:00:00+00:00,2023-10-16T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,CSPR-USDT;HBAR-USDT;LUNA-USDT;QNT-USDT;TRB-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-10-23T00:00:00+00:00,2023-10-23T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,APT-USDT;FLOKI-USDT;HBAR-USDT;XDC-USDT;XPR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-10-30T00:00:00+00:00,2023-10-30T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,APE-USDT;LUNA-USDT;NEAR-USDT;ROUTE-USDT;STX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-11-06T00:00:00+00:00,2023-11-06T00:00:00+00:00,1,KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,FIL-USDT;HBAR-USDT;LUNA-USDT;LUNC-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-11-13T00:00:00+00:00,2023-11-13T00:00:00+00:00,1,KAS-USDT;PEPE-USDT;SUI-USDT;XLM-USDT,APT-USDT;GALAX-USDT;ICP-USDT;PYR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-11-20T00:00:00+00:00,2023-11-20T00:00:00+00:00,1,KAS-USDT;PEPE-USDT;SUI-USDT,ALGO-USDT;APT-USDT;BLUR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-11-27T00:00:00+00:00,2023-11-27T00:00:00+00:00,1,KAS-USDT;PEPE-USDT;SUI-USDT,GALAX-USDT;GRT-USDT;ICP-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-12-04T00:00:00+00:00,2023-12-04T00:00:00+00:00,1,KAS-USDT;PEPE-USDT;SUI-USDT,GALAX-USDT;HBAR-USDT;NAKA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-12-11T00:00:00+00:00,2023-12-11T00:00:00+00:00,1,KAS-USDT;PEPE-USDT;SUI-USDT,NAKA-USDT;PYR-USDT;SUPER-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-12-18T00:00:00+00:00,2023-12-18T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,ARB-USDT;HBAR-USDT;NAKA-USDT;NEAR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2023-12-25T00:00:00+00:00,2023-12-25T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,DYDX-USDT;IMX-USDT;NAKA-USDT;NEAR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,DYDX-USDT;FIL-USDT;LUNA-USDT;SEI-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-01-08T00:00:00+00:00,2024-01-08T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,FTT-USDT;LUNC-USDT;ROSE-USDT;WOO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-01-15T00:00:00+00:00,2024-01-15T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,LDO-USDT;METIS-USDT;MOVR-USDT;ROSE-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-01-22T00:00:00+00:00,2024-01-22T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,APT-USDT;DYDX-USDT;ROSE-USDT;TRX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,BLUR-USDT;CFX-USDT;LDO-USDT;MASK-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-02-05T00:00:00+00:00,2024-02-05T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,BLUR-USDT;FET-USDT;STX-USDT;TRX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-02-12T00:00:00+00:00,2024-02-12T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,FET-USDT;FIL-USDT;ISLM-USDT;STX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-02-19T00:00:00+00:00,2024-02-19T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,ENS-USDT;FET-USDT;FIL-USDT;STX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-02-26T00:00:00+00:00,2024-02-26T00:00:00+00:00,1,KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,ATOM-USDT;FET-USDT;HBAR-USDT;METIS-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-03-04T00:00:00+00:00,2024-03-04T00:00:00+00:00,1,KAS-USDT;PEPE-USDT;SUI-USDT,METIS-USDT;OP-USDT;TRX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-03-11T00:00:00+00:00,2024-03-11T00:00:00+00:00,1,KAS-USDT;PEPE-USDT;SUI-USDT,AR-USDT;ATOM-USDT;METIS-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-03-18T00:00:00+00:00,2024-03-18T00:00:00+00:00,1,KAS-USDT;PEPE-USDT;SUI-USDT,AR-USDT;ATOM-USDT;THETA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-03-25T00:00:00+00:00,2024-03-25T00:00:00+00:00,1,KAS-USDT;PEPE-USDT;SUI-USDT,ATOM-USDT;COQ-USDT;THETA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,APT-USDT;BCH-USDT;COQ-USDT;LUNA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-04-08T00:00:00+00:00,2024-04-08T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,CFX-USDT;COQ-USDT;POLYX-USDT;THETA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-04-15T00:00:00+00:00,2024-04-15T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,ARB-USDT;DOT-USDT;GALAX-USDT;JASMY-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-04-22T00:00:00+00:00,2024-04-22T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,CFX-USDT;DOT-USDT;FIL-USDT;FLOKI-USDT;TIA-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-04-29T00:00:00+00:00,2024-04-29T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;ORDI-USDT;PEPE-USDT;SUI-USDT,DOT-USDT;FIL-USDT;JASMY-USDT;TIA-USDT;TOKEN-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-05-06T00:00:00+00:00,2024-05-06T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,CFX-USDT;FIL-USDT;HBAR-USDT;MYRO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-05-13T00:00:00+00:00,2024-05-13T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,AR-USDT;CFX-USDT;JASMY-USDT;MYRO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-05-20T00:00:00+00:00,2024-05-20T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,CFX-USDT;JASMY-USDT;WLD-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-05-27T00:00:00+00:00,2024-05-27T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,HBAR-USDT;JASMY-USDT;MYRO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-06-03T00:00:00+00:00,2024-06-03T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,AR-USDT;PEOPLE-USDT;WLD-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-06-10T00:00:00+00:00,2024-06-10T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;ORDI-USDT;PEPE-USDT,DOT-USDT;TAO-USDT;TOKEN-USDT;UNI-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-06-17T00:00:00+00:00,2024-06-17T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,ARB-USDT;DOT-USDT;TOKEN-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-06-24T00:00:00+00:00,2024-06-24T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,BONK-USDT;DOT-USDT;TAO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,AR-USDT;IOTA-USDT;MYRO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-07-08T00:00:00+00:00,2024-07-08T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,RUNE-USDT;TRX-USDT;VR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-07-15T00:00:00+00:00,2024-07-15T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,MYRO-USDT;TAO-USDT;WLD-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-07-22T00:00:00+00:00,2024-07-22T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,FIL-USDT;TAO-USDT;VR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-07-29T00:00:00+00:00,2024-07-29T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,FIL-USDT;MYRO-USDT;RUNE-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-08-05T00:00:00+00:00,2024-08-05T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,ENS-USDT;FIL-USDT;STX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-08-12T00:00:00+00:00,2024-08-12T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,AAVE-USDT;DOT-USDT;MYRO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-08-19T00:00:00+00:00,2024-08-19T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT,AR-USDT;STX-USDT;ZEC-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-08-26T00:00:00+00:00,2024-08-26T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,STX-USDT;VELO-USDT;WLD-USDT;ZEC-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-09-02T00:00:00+00:00,2024-09-02T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,FIL-USDT;TIA-USDT;VELO-USDT;ZEC-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-09-09T00:00:00+00:00,2024-09-09T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,ATOM-USDT;FLOKI-USDT;STX-USDT;SUN-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-09-16T00:00:00+00:00,2024-09-16T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,DOT-USDT;ONDO-USDT;STX-USDT;VR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-09-23T00:00:00+00:00,2024-09-23T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,ATOM-USDT;FLOKI-USDT;REEF-USDT;VR-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-09-30T00:00:00+00:00,2024-09-30T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,FLOKI-USDT;REEF-USDT;SEI-USDT;STX-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-10-07T00:00:00+00:00,2024-10-07T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,AR-USDT;BDX-USDT;FLOKI-USDT;VELO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-10-14T00:00:00+00:00,2024-10-14T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,ADA-USDT;BDX-USDT;FLOKI-USDT;VELO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-10-21T00:00:00+00:00,2024-10-21T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,BONK-USDT;FLOKI-USDT;FTT-USDT;JASMY-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-10-28T00:00:00+00:00,2024-10-28T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,BONK-USDT;FTT-USDT;INJ-USDT;REEF-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
2024-11-04T00:00:00+00:00,2024-11-04T00:00:00+00:00,1,GRAM-USDT;KAS-USDT;PEPE-USDT;SUI-USDT,BONK-USDT;ICP-USDT;JASMY-USDT;MYRO-USDT,True,True,False,False,False,False,TOP_30,POST_WARMUP,False
